"name","introduction","altname","pathogenic_site","department","population","symptom","inspect","complication","treatment","medication"
"耳廓软骨膜炎","化脓性耳廓软骨膜炎是耳廓软骨膜的化脓性炎症。多为耳廓损伤，  如外伤、手术伤，耳针治疗或耳廓穿刺抽液等继发感染所致。致病菌以缘脓桿菌及金黄色葡萄球菌居多。如处理不当，耳廓卷缩，形成“菜花耳”样畸形。","耳廓假囊肿","耳","耳鼻喉科,骨科","中年多见","双耳廓缺损,耳廓红肿,耳根部疼痛,局部灼热,浆液脓性分泌物","耳廓检查","骨膜炎,耳痈,肾虚耳鸣","手术治疗物理治疗","拔毒膏,清热消炎宁片,详细"
"眶下间隙感染","眶下间隙感染是指眶下间隙急性化脓性感染，主要临床表现有眶下区皮肤发红、张力增大，眼睑水肿、睑裂变窄、鼻唇沟消失。","眶下间隙急性化脓性感染","眼","口腔科","所有人群","眶周水肿,眼眶疼痛,眼睑浮肿,睑裂狭小,鼻唇沟变浅","眼及眶区CT,眼球及眼眶检查法,眼球和眼眶的超声检查","急性海绵窦栓塞性静脉炎","药物治疗、手术治疗","金喉健喷雾剂,口腔溃疡含片,替硝唑葡萄糖注射液,详细"
"翼下颌间隙感染","翼下颌间隙感染是指翼下颌间隙的急性化脓性感染，主要临床表现是张口受限、嚼咀吞咽疼痛。","翼下颌间隙的急性化脓性感染","口","口腔科","所有人群","颌骨关节痛,牙疼,发烧,颌突畸形,颌骨呈“扇形”骨质破坏",,"畸形性吞咽困难,食管受压性吞咽困难","中医药物治疗、西医药物治疗","注射用硫酸头孢匹罗,红霉素肠溶片,甲苯磺酸妥舒沙星片,详细"
"牙源性皮瘘","牙源性皮瘘(odontogenic cutaneous draining sinus tract)，又称牙齿窦道(dental sinus)，是由慢性齿根尖周围炎发生脓肿，从皮肤开口排出，形成瘘孔或炎症性结节的疾病。","牙齿窦道","皮肤","口腔科,皮肤科","所有人群","肉芽肿,磨牙后垫红肿,疖肿,丘疹,疖肿","皮损","脓毒症和菌血症","药物治疗、手术治疗",
"金属引起的口腔黏膜疾病","金属元素易被口腔黏膜吸收而沉积，可引起口腔炎、牙龈炎、咽峡炎等。可成为金属物质中毒的早期临床表现或惟一症状。","None","口","口腔科","所有人群","黏膜干燥,牙龈肿胀,齿龈炎,胃肠道症状,头痛","口腔内窥镜","磷中毒,骨髓炎","药物治疗","醋酸氯己定溶液,冬凌草片,详细"
"上颌后缩","上颌后缩主要是指上颌后缩，下颌位置基本正常，前牙反合，后牙近中合。上颌后缩是由于乳磨牙早失，后牙前移，上颌前牙后移而造成前牙反合，后牙近中合；上颌后缩是因为上颌骨发育不全，上前牙先天缺失或者侧切牙腭侧异位而造成前牙反合，后牙中性合或者近中合。至于腭裂造成的上颌后缩，则前后牙大都成反合，后牙近中合。","None","口","口腔科","生长发育期的儿童","颌突畸形,口腔念珠菌感染,皮肤黏膜出血,皮肤黏膜出血","X线头影测量,口腔内窥镜","畸形性骨炎","口腔矫正治疗、手术治疗","注射用头孢美唑钠,详细"
"涎瘘","由于外伤或外科手术损伤涎腺或涎腺导管造成涎液外流者，称为涎瘘，临床表现为面部皮肤有小瘘口，时有清亮唾液流出。 本病主要原因为损伤，多发生在腮腺及其导管部，手术治疗方法，治愈率高。涎腺区损伤后的清创缝合是预防本病的关键。","None","口","内分泌科,口腔科","成年人","流涎,流口水,腮腺区肿大","涎腺B超声","化脓性腮腺炎","中医药物治疗、西医药物治疗、手术治疗","丁硼乳膏,丁硼乳膏,康复新液,详细"
"皮肤白喉","皮肤白喉(cutaneous diphtheria)为白喉杆菌侵入皮肤伤口或由鼻、咽、喉等部位的白喉自身感染。急性患者常先患喉部或其他部位的白喉，而慢性患者一般只有皮肤症状。临床表现为皮肤上出现被有灰白色假膜的溃疡。","皮白喉","皮肤","皮肤科,口腔科","多发生于儿童，偶然见于成人","痘疮,结痂,溃疡,白喉假膜形成","免疫病理检查,涂片,皮损,皮肤涂片显微镜检查","心肌炎,支气管肺炎,中毒性肾病","中医药物治疗、西医药物治疗","嘎日迪五味丸,红霉素肠溶片,盐酸布替萘芬喷雾剂,详细"
"颌面部骨肉瘤","骨肉瘤是恶性度较高的肿瘤，常发生于青少年，男性较女性多见，约有5%发生于颌骨，下颌骨较上颌骨为多见，损伤及放射线可能为诱发因素，骨肉瘤是由肿瘤性造骨细胞、肿瘤性骨样组织及肿瘤骨组成，分化较成熟、肿瘤骨较多的称为成骨性骨肉瘤，其恶性程度较低；分化较原始或呈胚胎型，肿瘤骨少的称为溶骨性骨肉瘤，其恶性程度较高。","颌面部恶性肿瘤","口","口腔科,肿瘤科","青少年，男性较女性多见","疼痛,剧痛,膝关节疼痛,剧烈疼痛,颌突畸形","颌面部检查,骨显像","骨折",,"转移因子口服溶液,复方环磷酰胺片,详细"
"小儿牙本质生长不全综合征","牙本质生长不全综合征(dentinogenesis imperfecta syndrome)是一种常染色体显性遗传性疾病，具有明显的家族遗传性。根据牙齿呈半透明的乳光色的特殊外观和形态学改变而命名。该疾病又称牙釉质发育不全综合征(hypoplastic teeth enamel syndrome)、棕色牙综合征(brown teeth synodrome)、凹陷牙(pitted teeth)、Capdepone综合征、Stainton综合征等。","小儿Capdepone综合征,小儿Stainton综合征,小儿凹陷牙,小儿天冠牙,小儿牙本质生长不全综合症,小儿牙釉质发育不全综合征","口","口腔科","儿童","牙齿形态异常,牙齿上白垩色到褐色的斑块,牙齿颜色异常,牙齿较小呈半透明状,牙齿发黄","头颅平片,牙髓电活力","龋齿",,"人工牛黄甲硝唑胶囊,人工牛黄甲硝唑胶囊,详细"
"牙龈瘘管","牙龈瘘管是一种牙科常见疾病。通常来说根管治疗要分三次，根管治疗不是100%成功，炎症反复发作的不在少数，但是经过正规治疗，炎症会消除。","None","口","口腔科","所有人群",,,"None",,"西地碘含片,补肾固齿丸,西帕依固龈液,详细"
"滤泡性咽炎","长期生活不规律、疲劳、精神紧张，可使身体抵抗力下降，细菌和病毒容易反复感染，会引起滤泡性咽炎，通常清晨常吐出粘稠痰块易引起恶心。","None","口","口腔科","所有人群",,,"None",,"咽炎片,匹多莫德颗粒剂,匹多莫德颗粒,详细"
"白毛舌","舌背(上面)后方的人字沟前面，是舌的丝状乳头最稠密区域。受各种因素刺激，丝状乳头尖端的角化层不脱落，反而增生成丛毛状改变，形成毛舌。正常的丝状乳头呈白色刺状突起，数目很多，细长而尖，约0.5～3毫米。乳头尖端的上皮可有角化。当角化的上皮细胞脱落，混杂一些细菌、食物残渣、唾液等，在舌表面形成厚薄不等、颜色不同的东西，就是舌苔。舌苔表面变色，愈近中央部分颜色愈深，可呈黑、黄、绿、白等颜色，分别称黑毛舌、黄毛舌、绿毛舌和白毛舌。","None","口","口腔科",,,,"None",,
"龅牙","牙颌畸形是指儿童在生长发育过程中由先天的遗传因素或后天的环境因素造成的牙齿、颔骨、颅面的畸形，随着临床研究的不断加深，近代牙颌畸形的概念已远不是只指牙齿的错位和排列不齐，而是指由牙齿、颅面之间关系不调而引起的多种畸形，包括：个别牙错位；牙弓形态和牙齿排列异常；上下牙弓之间咬合关系异常。","牙颌畸形","口","口腔科","所有人群",,,"None","西医药物治疗、手术",
"牙龈瘤","牙龈瘤是牙龈上特别是龈乳头处局限生长的炎性反应性瘤样增生物。它来源于牙周膜及牙龈的结缔组织，因其无肿瘤的生物学特征和结构，故为非真性肿瘤，但切除后易复发。牙龈瘤是来源于牙周膜的增生性疾病，如果反复发生说明治疗效果不佳则应拔除病变牙齿，这是唯一有效的方法，此外女性怀孕期雌性激素分泌量增多，可促使牙龈血运丰富进一步加重牙龈增生病情，口腔专业疾病分类中特别有关于妊娠期牙龈炎或妊娠期牙龈瘤的详细描述，建议到医院检查治疗。此病不具有遗传性。","None","口","口腔科",,,,"None",,"掺钕钇铝石榴石激光治疗机,详细"
"舌头溃疡","舌头溃疡是口腔溃疡的一种。舌头溃疡，民间一般称之为“口腔上火”或“口疮”，是一种以周期性反复发作为特点的口腔粘膜局限性溃疡损伤，可自愈，可发生在口腔粘膜的任何部位。以口腔的唇、颊、软腭或齿龈等处的粘膜多见，发生单个或者多个大小不等的圆形或椭圆形溃疡，表面覆盖灰白或黄色假膜，中央凹陷，边界清楚，周围粘膜红而微肿，溃疡局部灼痛明显，具有周期性、复发性、自限性的特征。舌头溃疡又称为复发性阿弗他性口炎(recurrent aphthous stomatitis，RAS)、复发性口腔溃疡(recurrent oral ulcer，ROU)、复发性口疮(recurrent ahthae)或canker sores。","口腔上火 ","口","口腔科","所有人群",,,"口臭,慢性咽炎,便秘",,"枸橼酸铋钾胶囊,西地碘含片,铝镁加混悬液,详细"
"唇癌","唇癌（carcinoma of thelip）为发生于唇红缘黏膜的癌。按UICC的分类，唇内侧黏膜应属颊黏膜癌；唇部皮肤来源者应划入皮肤癌中；唇癌应仅限于可见唇红黏膜原发的癌。有鉴于此，唇癌已从口腔癌中独立出来；然而从广义讲，也有人主张将唇癌划归口腔癌中者。","None","口","口腔科",,,,"None",,"复方红豆杉胶囊,甲氨蝶呤片,抗癌平丸,详细"
"婴儿鹅口疮","鹅口疮又名雪口病、白念菌病，由真菌感染，是儿童口腔的一种常见疾病。在口腔黏膜表面形成白色斑膜，多见于婴幼儿。本病是白色念珠菌感染所引起。这种真菌有时也可在口腔中发现，当婴儿营养不良或身体衰弱时可以发病。","None","口","儿科,口腔科","2岁以内的婴幼儿 ","口腔难愈的白色片状物,口腔粘膜上白色较硬的隆起斑块,口腔念珠菌感染",,"None",,"度米芬含片,度米芬含片,度米芬含片,详细"
"锁合","锁合是后牙的一种错合畸形，上颌个别后牙或多数后牙被锁结在下后牙的颊侧，或是下颌个别后牙或多数后牙被锁在结在上后牙的颊侧，为锁合畸形。","后牙错合畸形","口","口腔科","儿童","过早丧失咀嚼功能,锁合畸形,面部畸形,锁合畸形,牙齿异常","口腔内窥镜","畸形性吞咽困难","牙齿矫正","百合固金丸,百合固金片,百合更年安颗粒,详细"
"小儿坏死性龈口炎","小儿坏死性龈口炎是由梭状杆菌和奋森螺旋体混合感染引起的急性坏死性溃疡性口腔病变。未及时治疗重症病例可导致患者死亡。","None","口","儿科,口腔科","儿童人群","齿龈出血,口腔黏膜溃疡,牙周袋形成,头痛,淋巴结肿大","中性粒细胞计数,涂片,白细胞数,皮肤涂片显微镜检查,直接涂片检查","口臭,口炎","药物治疗","复方氯己定含漱液,复方氯己定含漱液,详细"
"颌面部放线菌病","放线菌病（actinomy cosis）是一种慢性特异性炎症。面颈部是放线菌病的好发部位之一，亦可累及涎腺，但比较少见。","None","口","口腔科","所有人群","颌下腺疼痛、压痛,颌下淋巴结肿大压痛,溃疡,发烧,脓疱","颌面部检查,颞下颌关节造影","骨髓炎","药物治疗","琥乙红霉素片,红霉素肠溶片,盐酸多西环素肠溶胶囊,详细"
"牙瘤","牙瘤为牙源性肿瘤，生长于颌骨内，是由一个或多个牙胚组织发育异常而形成，瘤体内可含有不同发育阶段的各种牙胚组织或牙，数目不等，可能有数个至数十个，形状不规则，可能近似正常牙，也可以没有牙的形状，只是一团紊乱的硬组织组成，在其周围被以纤维膜，显微镜下有排列不规则的牙釉质、牙本质及牙骨质。","牙源性肿瘤","口","口腔科,肿瘤科","所有人群","牙齿结构异常,牙齿数目过剩,牙疼,牙周袋形成","X线头影测量,五官MRI,颌面五官CT","None",,
"咽部麻风","麻风（leprosy）是由麻风杆菌引起的一种接触传染病，以侵犯皮肤、粘膜及周围神经为主，亦可累及深部组织和器官。麻风杆菌主要是通过破损的皮肤和粘膜进入人体。本病不胎传，也不遗传。","None","咽喉","口腔科","所有人群","咽部灼热疼痛,咽部苹果酱样结节,咽部充血,咽部溃疡,周围神经损害","FLA-ABS试验,PHA淋巴细胞转化试验,二硝基氯苯试验,耳鼻咽喉CT","面瘫","全身抗麻风治疗、局部对症处理","利咽灵片,黄氏响声含片,详细"
"颏下间隙感染","颏下间隙感染是指颏下间隙急性化脓性感染，主要临床表现有淋巴结肿大、颏下三角区皮肤充血、疼痛有等。","颏下间隙急性化脓性感染","口","口腔科","所有人群均可发病","充血,疼痛,脓肿,水肿,淋巴结肿大",,"脉管炎","药物治疗","注射用硫酸头孢匹罗,红霉素肠溶片,替硝唑葡萄糖注射液,详细"
"下颌下隙感染","本病多见于拔牙之后，由口腔及牙齿感染引起。","脓性颌下炎","口","口腔科","所有人群","高热,声音嘶哑,发炎,呼吸困难,张嘴颌骨响","口腔内窥镜,颌面五官CT","水肿",,"琥乙红霉素颗粒,琥乙红霉素颗粒,妥布霉素地塞米松眼膏,详细"
"涎腺的未分化癌","涎腺的未分化癌（undifferentiated carcinoma）是一种分化程度极低或未分化的涎腺癌，组织学会类以致不能将其归入任何其他类型的涎腺恶性上皮性肿瘤。","None","口","口腔科,肿瘤科","男女无差别、各年纪均可见","面部麻木,面部皮肤有结节状增生,颌下腺肿大,淋巴结肿大,胸膜转移","多药耐药基因,涎腺B超声,血清组织多肽抗原","淋巴结炎,淋巴管炎","手术治疗、化疗、药物治疗","转移因子注射液,详细"
"咽后间隙感染","咽后间隙感染(infection of retropharyngeal space)是发生在咽、食管后壁和椎前筋膜之间的化脓性感染。好发于瘦弱及营养不良者的婴幼儿，多因鼻、耳部感染或颈椎结核等蔓延而来。临床早期似呼吸道感染，逐渐形成咽后壁脓肿。因脓肿压迫，咽喉部水肿、呼吸和吞咽困难。发声时因咽部共振腔缩小，患儿有鸭叫样语音或哭声。体检发现颈强直。临床宜早期切开引流脓液和全身抗感染治疗。","咽后脓性感染","咽喉","口腔科","所有人群","呼吸困难,吞咽困难,牙关紧闭,全身衰竭,高热","耳鼻咽喉CT","脓毒症和菌血症","手术治疗、中医药物治疗、西医药物治疗","注射用硫酸头孢匹罗,红霉素肠溶片,黄栀花口服液,详细"
"小儿错畸形","错颌畸形是指儿童在生长发育过程中，可由于遗传和环境等各种诸多因素的影响，导致牙齿、颌骨、颜面的发育畸形(理想正常颌是指上下颌牙齿全部存在，排列整齐，良好的尖凹相对的接触关系，颌骨发育正常，牙弓形态好)而影响面容的美观和健康。","None","头部","口腔科,儿科,五官科","儿童","暴牙,下颌前突,口齿不清,颌骨错位,颌突畸形","颌面五官CT,颞下颌关节检查","牙龈炎,龋齿","矫正治疗、手术治疗","头孢氨苄,头孢氨苄,T4K矫治器,详细"
"嗜酸性腺瘤","嗜酸性腺瘤（oxyphilicadenoma）又称大嗜酸性粒细胞瘤（oncocytom），是一种少见的涎腺良性肿瘤。关于嗜酸性腺瘤的组织发生尚未完全明了，可能来自导管上皮或导管肌上皮细胞。","大嗜酸性粒细胞瘤","口","内分泌科,口腔科,肿瘤科","50～60岁女性 ","结节,生长缓慢,腮腺无痛性肿块,热结节","CT检查,CT造影扫描","肾嗜酸细胞瘤","手术治疗","转移因子注射液,阿替洛尔片,详细"
"婴幼儿舌下囊肿","舌下囊肿是由于舌下腺导管阻塞，唾液潴留所引起。主要症状是新生儿的舌下有一个肿块，开始时有黄豆粒大小，以后会日渐增大。","木舌","口","口腔科,中医科","新生儿","舌运动受限,继发感染,黏液囊肿",,"婴幼儿舌下囊肿","药物治疗、手术治疗",
"遗传性乳光牙","遗传性牙本质发育不全(hereditary dentinogenesis imperfecta)又称为遗传性乳光牙本质(hereditary opalescent dentin)，是因其具有家族遗传性而牙齿呈半透明的乳光色外观而得名。","遗传性乳光牙本质","口","口腔科","所有人群","牙冠呈半透明乳光色,牙齿萌出异常,牙齿颜色异常,牙齿呈黄色\浅灰色或深灰色,齿龈炎","乳腺B超,口腔内窥镜","四环素牙","中医药物治疗、西医药物治疗",
"后牙反合","后牙反合可发生在乳牙期或恒牙期，有个别牙反合，也有多数后牙反合；可发生在单侧，也可发生在双侧。","后牙反合","口","口腔科","上颌牙弓狭窄、下颌发育过度...","牙齿萌出异常,下颌前突,牙齿咬合无力","X线头影测量,口腔内窥镜","牙龈炎","口腔矫正治疗","人工牛黄甲硝唑胶囊,补肾固齿丸,螺旋扩弓器,详细"
"颞间隙感染","颞间隙感染是指颞间隙的急性化脓性感染，主要临床表现为：范围局限于颞部的肿胀或同时有腮腺咬肌区、颊部、眶部、颧部等区广泛肿胀。","颞间隙的急性化脓性感染","头部","口腔科,外科","第三磨牙冠周炎、根尖周炎患...","全身感染中毒症状,食欲减退,头痛,咽痛,脓疱","颞下颌关节检查,颞下颌关节造影","骨髓炎,脑膜炎","药物治疗、手术治疗","注射用硫酸头孢匹罗,红霉素肠溶片,替硝唑葡萄糖注射液,详细"
"巨舌","巨舌(macroglossia)指由舌组织增生和水肿引起的舌体肿大。巨舌可以由各种不同的原因所引起：血管瘤和淋巴管瘤引起、神经纤维瘤、甲状腺功能低下、血管神经性水肿、淀粉样变及其他等，诊断不难，治疗主要针对病因。","巨舌症","口","口腔科","原发性淀粉样变者多见","甲状腺功能低下,结节,黏液性水肿,舌体肥大,舌痛",,"荨麻疹","病因治疗、手术治疗","葡萄糖酸钙口服溶液,通心络胶囊,乳结泰胶囊,详细"
"咽部及颈部食管闭合性损伤","咽部及颈部食管闭合性损伤(closed injury of pharynx and cervical esophagus)少见，常因外力挤压咽腔及颈段食管或被强力牵拉而致其撕裂。因无特征性表现，临床较难早期诊断，常因并发颈深部感染或纵隔感染才引起注意。X线摄片和食管造影有助于判断损伤部位。","None","咽喉","普外科,心胸外科,口腔科","青壮年","发绀,呼吸困难,皮下气肿,吞咽困难,吞咽困难","内镜检查,耳鼻咽喉CT,食管造影,鼻咽部MRI","纵隔炎","药物治疗","绿及咳喘颗粒,详细"
"齿状突发育畸形","齿状突是上颈椎关节重要的骨性联结结构，其借助于寰横韧带将齿状突束缚在一定的解剖范围来保持寰枢关节的稳定。齿状突和横韧带发育不良是造成寰枢椎不稳的主要先天因素。目前发现此类畸形并非少见，约占枕颈部畸形的4/5。","None","头部","口腔科","所有人群","结节,颈椎痛,埋藏齿,牙槽突型,脊髓受压","CT检查,MRI,颈部MRI","斜颈","手术治疗",
"小儿细菌感染性口炎","常以黏膜糜烂、溃疡伴假膜形成为其特征，是急性感染性口炎。发病急骤，伴有全身反应如发热，头痛，咽痛，哭闹，烦躁，拒食，颌下淋巴结肿大等。","小儿假膜性口炎","口","口腔科,儿科","所有幼儿可见","口腔黏膜溃疡,小儿哭闹不安,淋巴结肿大,拒食,细菌感染","尿常规,涂片,特殊细菌涂片,细菌的鉴定,菌落总数","口腔溃疡","局部药物治疗、内服药物治疗","丁硼乳膏,丁硼乳膏,双唑泰栓,详细"
"口底多间隙感染","口底多间隙感染又称口底蜂窝组织炎（cellulitis of the floor of the mouth），曾被认为是颌面部最严重而治疗最困难的炎症之一。随着诊治水平及有效抗菌药物的合理使用，近年来本病已极其罕见。","口底蜂窝组织炎","口","口腔科,普外科","所有人群","呼吸困难,吞咽困难,捻发音,发绀,剧痛","体温,脉搏,药敏试验","败血症肾损害,纵隔炎","中医药物治疗、西医药物治疗","喉康散,度米芬含片,详细"
